"id" "offspring" "sex" "terr" "lat" "long" "status"
"181" "N021905" 0 "Male" "9" 92 60 "Sub"
"182" "N021984" 0 "Male" "69" 13 57 "Sub"
"183" "N748885" 0 "Male" "108" 36 20 "Sub"
"184" "B425137" 0 "Female" "44" 59 10 "Sub"
"185" "C568760" 0 "Female" "22" 80 54 "Sub"
"186" "C568792" 0 "Female" "30/31" 96 45 "Sub"
"187" "C922355" 0 "Female" "80" 50 79 "Sub"
"188" "C922366" 0 "Female" "37" 88 31 "Dom"
"189" "C922396" 0 "Female" "80" 50 79 "Sub"
"190" "J368306" 0 "Female" "28" 71 80 "Sub"
"191" "J368307" 0 "Female" "30/31" 96 45 "Sub"
"192" "J368309" 0 "Female" "26/27" 71 74 "Dom"
"193" "J368312" 0 "Female" "38" 78 20 "Sub"
"194" "J368314" 0 "Female" "36" 83 25 "Sub"
"195" "J368315" 0 "Female" "57" 30 85 "Sub"
"196" "J368319" 0 "Female" "32" 92 38 "Dom"
"197" "J368323" 0 "Female" "9" 92 60 "Sub"
"198" "J368324" 0 "Female" "39" 64 14 "Sub"
"199" "J368357" 0 "Female" "35" 72 23 "Sub"
"200" "J368360" 0 "Female" "45" 57 16 "Sub"
"201" "J368363" 0 "Female" "68" 11 49 "Sub"
"202" "J368367" 0 "Female" "86" 58 2 "Sub"
"203" "J368408" 0 "Female" "19" 79 76 "Dom"
"204" "J368409" 0 "Female" "25" 72 64 "Sub"
"205" "J368410" 0 "Female" "3/4" 99 85 "Dom"
"206" "J368417" 0 "Female" "34" 77 30 "Sub"
"207" "J368429" 0 "Female" "58" 26 77 "Dom"
"208" "J368431" 0 "Female" "114" 41 76 "Dom"
"209" "J368449" 0 "Female" "103a" 18 37 "Dom"
"210" "J368468" 0 "Female" "47" 60 34 "Sub"
"211" "J368470" 0 "Female" "104" 27 23 "Sub"
"212" "J854302" 0 "Female" "6" 91 69 "Sub"
"213" "J854303" 0 "Female" "5" 98 76 "Dom"
"214" "J854308" 0 "Female" "116" 65 52 "Dom"
"215" "J854311" 0 "Female" "33" 82 37 "Sub"
"217" "J854337" 0 "Female" "52" 56 94 "Dom"
"218" "J854347" 0 "Female" "85" 38 52 "Dom"
"219" "J854348" 0 "Female" "101/103" 12 31 "Sub"
"220" "J854372" 0 "Female" "88a" 46 17 "Sub"
"221" "J854375" 0 "Female" "102" 18 27 "Dom"
"222" "J854379" 0 "Female" "73" 19 46 "Dom"
"223" "J854386" 0 "Female" "95" 3 31 "Dom"
"224" "J854483" 0 "Female" "82" 25 50 "Sub"
"225" "K278001" 0 "Female" "8" 100 63 "Sub"
"226" "K278003" 0 "Female" "24" 72 57 "Dom"
"227" "K278004" 0 "Female" "33/48" 76 41 "Dom"
"228" "K278010" 0 "Female" "56" 36 89 "Sub"
"229" "K278011" 0 "Female" "7" 101 70 "Dom"
"230" "K278013" 0 "Female" "51a" 73 94 "Dom"
"231" "K278018" 0 "Female" "15" 87 80 "Dom"
"232" "K278023" 0 "Female" "93" 33 13 "Dom"
"233" "K278026" 0 "Female" "46a" 68 18 "Sub"
"234" "K278031" 0 "Female" "54" 43 86 "Dom"
"236" "K278037" 0 "Female" "10" 101 56 "Sub"
"237" "K278040" 0 "Female" "60a" 33 59 "Sub"
"238" "K278047" 0 "Female" "46/47" 63 28 "Sub"
"239" "K278058" 0 "Female" "51" 65 90 "Sub"
"240" "K278102" 0 "Female" "1" 100 92 "Dom"
"241" "K278104" 0 "Female" "76" 59 75 "Dom"
"242" "K278105" 0 "Female" "88" 42 9 "Dom"
"243" "K278109" 0 "Female" "86" 58 2 "Sub"
"244" "K278114" 0 "Female" "20" 82 69 "Dom"
"245" "K278115" 0 "Female" "2" 92 88 "Dom"
"246" "K278117" 0 "Female" "1a" 92 95 "Sub"
"248" "K278122" 0 "Female" "37" 88 31 "Sub"
"249" "K278128" 0 "Female" "95" 3 31 "Sub"
"250" "K278139" 0 "Female" "41" 69 7 "Dom"
"251" "K278141" 0 "Female" "59a" 33 72 "Dom"
"252" "K278253" 0 "Female" "77" 52 68 "Dom"
"253" "K278255" 0 "Female" "52a" 53 88 "Sub"
"254" "K278258" 0 "Female" "75" 62 65 "Sub"
"255" "K278260" 0 "Female" "87" 51 13 "Sub"
"256" "K278279" 0 "Female" "108" 36 20 "Sub"
"257" "K278285" 0 "Female" "81" 20 60 "Sub"
"258" "K278292" 0 "Female" "46" 64 22 "Dom"
"259" "K278296" 0 "Female" "18" 74 87 "Dom"
"260" "K278368" 0 "Female" "55" 35 81 "Sub"
"262" "N021706" 0 "Female" "112" 49 5 "Dom"
"263" "N021709" 0 "Female" "52a" 53 88 "Sub"
"264" "N021711" 0 "Female" "78" 60 83 "Dom"
"265" "N021712" 0 "Female" "67" 16 66 "Sub"
"266" "N021721" 0 "Female" "64" 30 53 "Sub"
"267" "N021723" 0 "Female" "94a" 8 19 "Sub"
"268" "N021724" 0 "Female" "53/55" 43 91 "Sub"
"269" "N021728" 0 "Female" "109" 57 55 "Dom"
"270" "N021737" 0 "Female" "50a" 72 48 "Sub"
"271" "N021741" 0 "Female" "82a" 34 43 "Sub"
"272" "N021744" 0 "Female" "48" 66 38 "Sub"
"273" "N021746" 0 "Female" "63" 42 60 "Sub"
"274" "N021751" 0 "Female" "47a" 71 33 "Dom"
"275" "N021756" 0 "Female" "82a" 34 43 "Sub"
"276" "N021769" 0 "Female" "27" 68 69 "Dom"
"279" "N021796" 0 "Female" "50" 67 44 "Dom"
"280" "N021798" 0 "Female" "23" 82 47 "Dom"
"281" "N021799" 0 "Female" "17" 84 90 "Dom"
"282" "N021824" 0 "Female" "111" 50 57 "Dom"
"283" "N021825" 0 "Female" "111" 50 57 "Sub"
"284" "N021828" 0 "Female" "96" 12 21 "Sub"
"285" "N021857" 0 "Female" "97/99" 8 41 "Dom"
"287" "N021901" 0 "Female" "16" 81 84 "Sub"
"288" "N021902" 0 "Female" "21" 82 61 "Dom"
"289" "N021903" 0 "Female" "29" 82 95 "Sub"
"290" "N021911" 0 "Female" "53" 45 82 "Sub"
"291" "N021917" 0 "Female" "46/47" 63 28 "Sub"
"292" "N021918" 0 "Female" "30/31" 96 45 "Sub"
"294" "N021922" 0 "Female" "1" 100 92 "Sub"
"295" "N021925" 0 "Female" "43" 73 13 "Sub"
"296" "N021927" 0 "Female" "32" 92 38 "Sub"
"297" "N021936" 0 "Female" "84" 60 43 "Sub"
"298" "N021938" 0 "Female" "94" 21 16 "Sub"
"299" "N021939" 0 "Female" "33" 82 37 "Sub"
"300" "N021940" 0 "Female" "23" 82 47 "Sub"
"302" "N021942" 0 "Female" "34" 77 30 "Sub"
"303" "N021944" 0 "Female" "34" 77 30 "Sub"
"304" "N021946" 0 "Female" "37" 88 31 "Sub"
"305" "N021948" 0 "Female" "3" 92 77 "Sub"
"306" "N021957" 0 "Female" "85" 38 52 "Sub"
"307" "N021959" 0 "Female" "69" 13 57 "Dom"
"308" "N021960" 0 "Female" "32" 92 38 "Sub"
"309" "N021964" 0 "Female" "15" 87 80 "Sub"
"310" "N021965" 0 "Female" "11" 87 53 "Dom"
"311" "N021966" 0 "Female" "51" 65 90 "Dom"
"312" "N021971" 0 "Female" "28" 71 80 "Sub"
"313" "N021988" 0 "Female" "94" 21 16 "Sub"
"314" "N021991" 0 "Female" "3/4" 99 85 "Sub"
"315" "N021996" 0 "Female" "59" 34 66 "Dom"
"317" "N748817" 0 "Female" "33/48" 76 41 "Sub"
"318" "N748833" 0 "Female" "103a" 18 37 "Dom"
"319" "urhelper" 0 "Female" "46" 64 22 "Sub"
